# A&A Boxes UI Text - Plain Text Format
# Format: KEY = English Text | Spanish Text
# Lines starting with # are comments
# Empty lines are ignored

# ===== HEADER / NAVIGATION =====
nav.home = Home | Inicio
nav.packages = Packages | Paquetes
nav.products = Products | Productos
nav.howToOrder = How to Order | Cómo Ordenar
nav.about = About | Nosotros
nav.contact = Contact | Contacto
nav.getStarted = Get Started | Comenzar

# ===== HERO SECTION =====
hero.title1 = Luxury Gift Boxes | Cajas de Regalo de Lujo
hero.title2 = Made with Love | Hechas con Amor
hero.subtitle = Create unforgettable moments with our premium, customizable gift boxes designed to celebrate life's special occasions | Crea momentos inolvidables con nuestras cajas de regalo premium y personalizables diseñadas para celebrar las ocasiones especiales de la vida
hero.exploreCollection = Explore Our Collection | Explora Nuestra Colección
hero.customOrders = Custom Orders | Pedidos Personalizados
hero.feature1.title = Premium Quality | Calidad Premium
hero.feature1.desc = Handcrafted with the finest materials | Hechas a mano con los mejores materiales
hero.feature2.title = Fully Customizable | Totalmente Personalizable
hero.feature2.desc = Personalize every detail to perfection | Personaliza cada detalle a la perfección
hero.feature3.title = Made with Love | Hechas con Amor
hero.feature3.desc = Each box tells a unique story | Cada caja cuenta una historia única

# ===== PACKAGES SECTION =====
packages.title = Our Packages | Nuestros Paquetes
packages.subtitle = Choose from our curated package options designed for every occasion | Elige entre nuestras opciones de paquetes diseñados para cada ocasión

package.basic.name = Basic Package | Paquete Básico
package.basic.desc = Perfect starter package with essential customization options. Includes personalized labels, themed decorations, and quality gift items. | Paquete inicial perfecto con opciones esenciales de personalización. Incluye etiquetas personalizadas, decoraciones temáticas y artículos de regalo de calidad.
package.basic.tag = Starter | Inicial

package.deluxe.name = Deluxe Package | Paquete Deluxe
package.deluxe.desc = Enhanced package with premium items and advanced customization. Features luxury materials, exclusive designs, and premium gift selections. | Paquete mejorado con artículos premium y personalización avanzada. Presenta materiales de lujo, diseños exclusivos y selecciones de regalos premium.
package.deluxe.tag = Popular | Popular

package.premium.name = Premium Package | Paquete Premium
package.premium.desc = Our most luxurious package with full customization and premium contents. Includes designer elements, high-end gifts, and white-glove service. | Nuestro paquete más lujoso con personalización completa y contenidos premium. Incluye elementos de diseñador, regalos de alta gama y servicio de guante blanco.
package.premium.tag = Luxury | Lujo

package.corporate.name = Corporate Package | Paquete Corporativo
package.corporate.desc = Professional packages for business events and client appreciation. Branded with your company logo and tailored to corporate standards. | Paquetes profesionales para eventos empresariales y apreciación de clientes. Con marca de tu empresa y adaptados a estándares corporativos.
package.corporate.tag = Business | Negocios

package.event.name = Event Package | Paquete de Eventos
package.event.desc = Comprehensive packages for large celebrations and special events. Bulk ordering available with consistent quality and theming. | Paquetes completos para grandes celebraciones y eventos especiales. Pedidos al por mayor disponibles con calidad y temática consistentes.
package.event.tag = Events | Eventos

package.seasonal.name = Seasonal Package | Paquete de Temporada
package.seasonal.desc = Limited edition packages celebrating holidays and special seasons. Features seasonal themes, colors, and festive elements. | Paquetes de edición limitada celebrando días festivos y temporadas especiales. Presenta temas de temporada, colores y elementos festivos.
package.seasonal.tag = Limited | Limitado

# ===== PRODUCTS SECTION =====
products.title = Our Products | Nuestros Productos
products.subtitle = Discover our curated selection of premium gift items, each designed to create unforgettable moments | Descubre nuestra selección curada de artículos de regalo premium, cada uno diseñado para crear momentos inolvidables

product.customNutella.name = Custom Nutella Jar | Frasco Nutella Personalizado
product.customNutella.desc = Personalized Nutella jars with custom labels featuring names, photos, or special messages. Perfect for sweet celebrations and unique gift giving. | Frascos de Nutella personalizados con etiquetas personalizadas con nombres, fotos o mensajes especiales. Perfecto para celebraciones dulces y regalos únicos.
product.customNutella.tag = Custom | Personalizado

product.customPlaydoh.name = Custom Play-Doh | Play-Doh Personalizado
product.customPlaydoh.desc = Branded Play-Doh containers with personalized packaging and labels. Ideal for children's parties, creative activities, and memorable party favors. | Contenedores de Play-Doh con marca y empaque y etiquetas personalizadas. Ideal para fiestas infantiles, actividades creativas y recuerdos memorables.
